CreditScore,Geography,Gender,Age,Tenure, Balance ,NumOfProducts,HasCrCard,IsActiveMember, EstimatedSalary ,Engagement score
725,Germany,Male,19,0,"€ 75,888.20",1,0,0,"€ 45,613.75",0.00%
511,Spain,Female,66,4, € -   ,1,1,0,"€ 1,643.11",0.00%
614,France,Male,51,4,"€ 40,685.92",1,1,1,"€ 46,775.28",25.00%
742,Germany,Male,35,5,"€ 1,36,857.00",1,0,0,"€ 84,509.57",0.00%
687,Germany,Female,27,9,"€ 1,52,328.88",2,0,0,"€ 1,26,494.82",0.00%
555,Spain,Male,33,1,"€ 56,084.69",2,0,0,"€ 1,78,798.13",0.00%
684,Spain,Male,56,8,"€ 78,707.16",1,1,1,"€ 99,398.36",12.50%
603,Germany,Male,26,4,"€ 1,09,166.37",1,1,1,"€ 92,840.67",25.00%
751,Germany,Female,36,6,"€ 1,69,831.46",2,1,1,"€ 27,758.36",33.33%
581,Germany,Female,34,1,"€ 1,01,633.04",1,1,0,"€ 1,10,431.51",0.00%
735,Germany,Male,43,10,"€ 1,23,180.01",2,1,1,"€ 1,96,673.28",20.00%
661,Germany,Female,35,5,"€ 1,50,725.53",2,0,1,"€ 1,13,656.85",40.00%
675,France,Female,21,8,"€ 98,373.26",1,1,0,"€ 18,203.00",0.00%
738,Germany,Male,58,2,"€ 1,33,745.44",4,1,0,"€ 28,373.86",0.00%
813,France,Male,29,6, € -   ,1,1,0,"€ 33,953.87",0.00%
657,Spain,Female,37,0,"€ 1,63,607.18",1,0,1,"€ 44,203.55",100.00%
604,Germany,Female,25,5,"€ 1,57,780.84",2,1,1,"€ 58,426.81",40.00%
519,France,Male,36,9, € -   ,2,0,1,"€ 1,45,562.40",22.22%
735,France,Female,21,1,"€ 1,78,718.19",2,1,0,"€ 22,388.00",0.00%
664,France,Male,55,8, € -   ,2,1,1,"€ 1,39,161.64",25.00%
678,France,Female,32,9, € -   ,1,1,1,"€ 1,48,210.64",11.11%
757,Spain,Male,33,5,"€ 77,253.22",1,0,1,"€ 1,94,239.63",20.00%
416,Germany,Female,41,10,"€ 1,22,189.66",2,1,0,"€ 98,301.61",0.00%
665,France,Female,34,1,"€ 96,645.54",2,0,0,"€ 1,71,413.66",0.00%
777,France,Female,32,2, € -   ,1,1,0,"€ 1,36,458.19",0.00%
543,France,Female,36,3, € -   ,2,0,0,"€ 26,019.59",0.00%
506,France,Female,34,4,"€ 90,307.62",1,1,1,"€ 1,59,235.29",25.00%
493,France,Female,46,4, € -   ,2,1,0,"€ 1,907.66",0.00%
652,Spain,Female,75,10, € -   ,2,1,1,"€ 1,14,675.75",20.00%
750,Spain,Male,22,3,"€ 1,21,681.82",1,1,0,"€ 1,28,643.35",0.00%
729,France,Male,30,9, € -   ,2,1,0,"€ 1,51,869.35",0.00%
646,France,Female,46,4, € -   ,3,1,0,"€ 93,251.42",0.00%
635,Germany,Female,28,3,"€ 81,623.67",2,1,1,"€ 1,56,791.36",66.67%
647,Spain,Female,44,5, € -   ,3,1,1,"€ 1,74,205.22",60.00%
808,France,Male,45,7,"€ 1,18,626.55",2,1,0,"€ 1,47,132.46",0.00%
524,France,Female,36,10, € -   ,2,1,0,"€ 1,09,614.57",0.00%
769,France,Male,29,8, € -   ,2,1,1,"€ 1,72,290.61",25.00%
730,Spain,Male,42,4, € -   ,2,0,1,"€ 85,982.47",50.00%
515,Spain,Male,35,10,"€ 1,76,273.95",1,0,1,"€ 1,21,277.78",10.00%
773,Spain,Male,41,9,"€ 1,02,827.44",1,0,1,"€ 64,595.25",11.11%
814,Germany,Male,29,8,"€ 97,086.40",2,1,1,"€ 1,97,276.13",25.00%
710,Spain,Male,22,8, € -   ,2,0,0,"€ 99,645.04",0.00%
413,France,Male,34,9, € -   ,2,0,0,"€ 6,534.18",0.00%
665,France,Female,40,6, € -   ,1,1,1,"€ 1,61,848.03",16.67%
623,France,Female,44,6, € -   ,2,0,0,"€ 1,67,162.43",0.00%
738,France,Male,31,9,"€ 82,674.15",1,1,0,"€ 41,970.72",0.00%
528,Spain,Male,36,7, € -   ,2,1,0,"€ 60,536.56",0.00%
670,Spain,Female,65,1, € -   ,1,1,1,"€ 1,77,655.68",100.00%
622,Spain,Female,46,4,"€ 1,07,073.27",2,1,1,"€ 30,984.59",50.00%
582,Germany,Male,32,1,"€ 88,938.62",1,1,1,"€ 10,054.53",100.00%
785,Germany,Female,36,2,"€ 99,806.85",1,0,1,"€ 36,976.52",50.00%
605,Spain,Male,33,5,"€ 1,50,092.80",1,0,0,"€ 71,862.79",0.00%
479,Germany,Male,35,9,"€ 92,833.89",1,1,0,"€ 99,449.86",0.00%
685,Germany,Male,30,3,"€ 90,536.81",1,0,1,"€ 63,082.88",33.33%
538,Germany,Male,39,7,"€ 1,08,055.10",2,1,0,"€ 27,231.26",0.00%
562,France,Male,42,2,"€ 1,00,238.35",1,0,0,"€ 86,797.41",0.00%
675,Spain,Male,36,9,"€ 1,06,190.55",1,0,1,"€ 22,994.32",11.11%
721,Germany,Male,28,9,"€ 1,54,475.54",2,0,1,"€ 1,01,300.94",22.22%
628,Germany,Female,30,9,"€ 1,32,351.29",2,1,1,"€ 74,169.13",22.22%
668,Germany,Female,37,6,"€ 1,67,864.40",1,1,0,"€ 1,15,638.29",0.00%
506,France,Female,41,1, € -   ,2,1,0,"€ 31,766.30",0.00%
524,Germany,Female,31,8,"€ 1,07,818.63",1,1,0,"€ 1,99,725.39",0.00%
699,Germany,Male,34,4,"€ 1,85,173.81",2,1,0,"€ 1,20,834.48",0.00%
828,France,Male,34,8,"€ 1,29,433.34",2,0,0,"€ 38,131.77",0.00%
674,Spain,Male,39,6,"€ 1,20,193.42",1,0,0,"€ 1,00,130.95",0.00%
656,France,Female,39,6, € -   ,2,1,0,"€ 1,41,069.88",0.00%
684,Germany,Female,48,10,"€ 1,26,384.42",1,1,1,"€ 1,98,129.36",10.00%
625,France,Female,28,3, € -   ,1,0,0,"€ 1,83,646.41",0.00%
432,France,Male,42,9,"€ 1,52,603.45",1,1,0,"€ 1,10,265.24",0.00%
549,France,Female,52,1, € -   ,1,0,1,"€ 8,636.05",100.00%
625,Germany,Male,56,0,"€ 1,48,507.24",1,1,0,"€ 46,824.08",0.00%
828,France,Female,41,7, € -   ,2,1,0,"€ 1,71,378.77",0.00%
770,France,Male,24,9,"€ 1,01,827.07",1,1,0,"€ 1,67,256.35",0.00%
758,France,Female,34,3, € -   ,2,1,1,"€ 1,24,226.16",66.67%
795,Germany,Female,33,9,"€ 1,30,862.43",1,1,1,"€ 1,14,935.21",11.11%
687,France,Male,38,9,"€ 1,22,570.87",1,1,1,"€ 35,608.88",11.11%
686,France,Male,25,1, € -   ,2,0,1,"€ 16,459.37",200.00%
789,Germany,Male,39,7,"€ 1,24,828.46",2,1,1,"€ 1,24,411.08",28.57%
589,Germany,Female,50,5,"€ 1,44,895.05",2,1,1,"€ 34,941.23",40.00%
461,Germany,Female,34,5,"€ 63,663.93",1,0,1,"€ 1,67,784.28",20.00%
637,France,Male,40,2,"€ 1,33,463.10",1,0,1,"€ 93,165.34",50.00%
584,Spain,Female,48,2,"€ 2,13,146.20",1,1,0,"€ 75,161.25",0.00%
579,Spain,Female,35,1,"€ 1,29,490.36",2,0,1,"€ 8,590.83",200.00%
756,Germany,Male,44,10,"€ 1,37,452.09",1,1,0,"€ 1,89,543.90",0.00%
663,France,Male,34,7, € -   ,2,1,1,"€ 1,80,427.24",28.57%
682,France,Female,43,5,"€ 1,25,851.93",1,1,1,"€ 1,93,318.33",20.00%
793,Spain,Male,52,2, € -   ,1,1,0,"€ 1,59,123.82",0.00%
691,France,Female,31,5,"€ 40,915.55",1,1,0,"€ 1,26,213.84",0.00%
485,Spain,Female,21,5,"€ 1,13,157.22",1,1,1,"€ 54,141.50",20.00%
635,Spain,Female,29,8,"€ 1,38,296.94",2,1,0,"€ 1,41,075.51",0.00%
650,France,Male,37,5,"€ 1,06,967.18",1,0,0,"€ 24,495.03",0.00%
735,France,Male,44,9,"€ 1,20,681.63",1,1,0,"€ 74,836.34",0.00%
416,France,Male,32,0, € -   ,2,0,1,€ 878.87,200.00%
754,Spain,Female,32,7, € -   ,2,1,0,"€ 89,520.75",0.00%
535,France,Female,48,9, € -   ,1,1,0,"€ 1,49,892.79",0.00%
716,Spain,Male,42,8, € -   ,2,1,0,"€ 1,80,800.42",0.00%
539,France,Male,37,2,"€ 1,27,609.59",1,1,0,"€ 98,646.22",0.00%
614,France,Female,43,6, € -   ,2,1,1,"€ 1,09,041.53",33.33%
706,Spain,Male,57,7, € -   ,1,1,0,"€ 17,941.16",0.00%
758,France,Female,33,7, € -   ,2,0,0,"€ 82,996.47",0.00%
586,Spain,Female,28,2, € -   ,2,1,1,"€ 92,067.35",100.00%
646,France,Female,73,6,"€ 97,259.25",1,0,1,"€ 1,04,719.66",16.67%
631,Germany,Female,33,4,"€ 1,23,246.70",1,0,0,"€ 1,12,687.57",0.00%
717,Spain,Female,22,6,"€ 1,01,060.25",1,0,1,"€ 84,699.56",16.67%
684,France,Male,30,2, € -   ,2,1,0,"€ 83,473.82",0.00%
800,France,Female,49,7,"€ 1,08,007.36",1,0,0,"€ 47,125.11",0.00%
721,Spain,Female,36,2, € -   ,2,1,1,"€ 1,06,977.80",100.00%
683,Spain,Male,29,0,"€ 1,33,702.89",1,1,0,"€ 55,582.54",0.00%
660,Germany,Male,31,9,"€ 1,25,189.75",2,1,1,"€ 1,39,874.43",22.22%
704,Germany,Female,24,7,"€ 1,13,034.22",1,1,0,"€ 1,62,503.48",0.00%
615,Spain,Female,41,9,"€ 1,09,013.23",1,1,0,"€ 1,96,499.96",0.00%
667,Spain,Female,39,2, € -   ,2,1,0,"€ 40,721.24",0.00%
682,Germany,Male,24,9,"€ 57,929.81",2,0,0,"€ 53,134.30",0.00%
484,France,Female,29,4,"€ 1,30,114.39",1,1,0,"€ 1,64,017.89",0.00%
628,Germany,Male,27,5,"€ 95,826.49",2,1,0,"€ 1,55,996.96",0.00%
480,Germany,Male,44,10,"€ 1,29,608.57",1,1,0,"€ 5,472.70",0.00%
578,France,Male,30,4,"€ 1,69,462.09",1,1,0,"€ 1,12,187.11",0.00%
512,France,Male,40,5, € -   ,2,1,1,"€ 1,46,457.83",40.00%
484,Spain,Female,35,7,"€ 1,33,868.21",1,1,1,"€ 27,286.10",14.29%
510,France,Female,30,0, € -   ,2,1,1,"€ 1,30,553.47",200.00%
606,Germany,Male,36,5,"€ 1,90,479.48",2,0,0,"€ 1,79,351.89",0.00%
597,Spain,Female,40,8,"€ 1,01,993.12",1,0,1,"€ 94,774.12",12.50%
754,Germany,Female,55,3,"€ 1,61,608.81",1,1,0,"€ 8,080.85",0.00%
850,Spain,Female,45,2,"€ 1,22,311.21",1,1,1,"€ 19,482.50",50.00%
510,France,Male,65,2, € -   ,2,1,1,"€ 48,071.61",100.00%
778,Germany,Female,45,1,"€ 1,62,150.42",2,1,0,"€ 1,74,531.27",0.00%
636,France,Male,42,2, € -   ,2,1,1,"€ 55,470.78",100.00%
804,France,Female,50,4, € -   ,1,1,1,"€ 8,546.87",25.00%
514,France,Male,32,8, € -   ,2,1,0,"€ 95,857.18",0.00%
730,France,Female,39,1,"€ 99,010.67",1,1,0,"€ 1,94,945.80",0.00%
525,Spain,Female,37,0, € -   ,1,0,1,"€ 1,31,521.72",100.00%
616,Spain,Male,30,5, € -   ,2,0,1,"€ 1,96,108.51",40.00%
687,Germany,Female,34,7,"€ 1,11,388.18",2,1,0,"€ 1,48,564.76",0.00%
715,France,Female,41,8,"€ 56,214.85",2,0,0,"€ 92,982.61",0.00%
512,France,Female,36,3,"€ 84,327.77",2,1,0,"€ 17,675.36",0.00%
479,France,Male,40,1, € -   ,2,0,0,"€ 1,14,996.43",0.00%
601,France,Male,32,8,"€ 93,012.89",1,1,0,"€ 86,957.42",0.00%
580,Spain,Male,29,9,"€ 61,710.44",2,1,0,"€ 1,28,077.80",0.00%
807,France,Male,35,3,"€ 1,74,790.15",1,1,1,€ 600.36,33.33%
616,Spain,Female,32,6, € -   ,2,1,1,"€ 43,001.46",33.33%
721,Germany,Male,37,3,"€ 1,07,720.64",1,1,1,"€ 1,58,591.12",33.33%
501,France,Male,57,10, € -   ,2,1,1,"€ 47,847.19",20.00%
521,France,Male,35,6,"€ 96,423.84",1,1,0,"€ 10,488.44",0.00%
850,Spain,Male,30,2,"€ 1,41,040.01",1,1,1,"€ 5,978.20",50.00%
759,France,Male,42,4,"€ 1,05,420.18",1,0,1,"€ 1,21,409.06",25.00%
516,Spain,Male,50,5, € -   ,1,0,1,"€ 1,46,145.93",20.00%
711,France,Female,38,2,"€ 1,29,022.06",2,1,1,"€ 14,374.86",100.00%
512,Spain,Male,33,3,"€ 1,76,666.62",1,1,0,"€ 94,670.77",0.00%
550,France,Male,37,3, € -   ,1,1,1,"€ 1,79,670.31",33.33%
608,Spain,Female,41,3,"€ 89,763.84",1,0,0,"€ 1,99,304.74",0.00%
618,France,Male,34,5,"€ 1,34,954.53",1,1,1,"€ 1,51,954.39",20.00%
643,France,Male,45,5, € -   ,1,1,0,"€ 1,42,513.50",0.00%
671,France,Male,45,2,"€ 1,06,376.85",1,0,1,"€ 1,58,264.62",50.00%
689,Germany,Male,33,2,"€ 1,61,814.64",2,1,0,"€ 1,69,381.90",0.00%
603,France,Male,31,8, € -   ,2,1,1,"€ 1,69,915.02",25.00%
620,France,Female,41,9, € -   ,2,0,0,"€ 88,852.47",0.00%
676,France,Female,34,1,"€ 63,095.01",1,1,1,"€ 40,645.81",100.00%
572,Germany,Male,26,4,"€ 1,18,287.01",2,0,0,"€ 60,427.30",0.00%
668,Germany,Male,47,7,"€ 1,06,854.21",1,0,1,"€ 1,57,959.02",14.29%
695,France,Male,46,7,"€ 49,512.55",1,1,0,"€ 1,33,007.34",0.00%
730,Spain,Female,33,9, € -   ,2,0,0,"€ 1,76,576.62",0.00%
807,France,Male,43,1,"€ 1,05,799.32",2,1,0,"€ 34,888.04",0.00%
592,France,Male,54,8, € -   ,1,1,1,"€ 28,737.71",12.50%
726,France,Female,31,9,"€ 1,14,722.05",2,1,1,"€ 98,178.57",22.22%
514,Spain,Male,30,7, € -   ,1,0,1,"€ 1,25,010.24",14.29%
567,France,Male,42,2, € -   ,2,1,1,"€ 1,67,984.61",100.00%
850,France,Male,33,10, € -   ,1,1,0,"€ 4,861.72",0.00%
671,Germany,Male,45,6,"€ 99,564.22",1,1,1,"€ 1,08,872.45",16.67%
670,France,Male,37,4,"€ 1,70,557.91",2,1,0,"€ 1,98,252.88",0.00%
694,France,Female,30,9, € -   ,2,1,1,"€ 26,960.31",22.22%
547,Germany,Female,39,6,"€ 74,596.15",3,1,1,"€ 85,746.52",50.00%
751,Germany,Male,50,2,"€ 96,888.39",1,1,0,"€ 77,206.25",0.00%
594,Germany,Female,29,3,"€ 1,30,830.22",1,1,0,"€ 61,048.53",0.00%
673,France,Male,72,1, € -   ,2,0,1,"€ 1,11,981.19",200.00%
610,France,Male,40,0, € -   ,2,1,0,"€ 62,232.60",0.00%
512,France,Female,37,1, € -   ,2,0,1,"€ 1,56,105.03",200.00%
767,Germany,Male,20,3,"€ 1,19,714.25",2,0,1,"€ 1,50,135.38",66.67%
585,France,Female,67,5,"€ 1,13,978.97",2,0,1,"€ 93,146.11",40.00%
763,Germany,Male,42,6,"€ 1,00,160.75",1,1,0,"€ 33,462.94",0.00%
712,France,Female,29,2, € -   ,1,1,1,"€ 1,44,375.00",50.00%
539,Germany,Female,43,3,"€ 1,16,220.50",3,1,0,"€ 55,803.96",0.00%
668,France,Female,46,2, € -   ,3,1,0,"€ 89,048.46",0.00%
703,France,Male,28,2,"€ 81,173.83",2,0,1,"€ 1,62,812.16",100.00%
662,Spain,Male,38,4, € -   ,2,1,0,"€ 1,36,259.65",0.00%
725,Germany,Female,39,5,"€ 1,16,803.80",1,1,0,"€ 1,24,052.97",0.00%
703,France,Male,37,8,"€ 1,05,961.68",2,0,1,"€ 74,158.80",25.00%
659,Germany,Male,67,6,"€ 1,17,411.60",1,1,1,"€ 45,071.09",16.67%
523,Spain,Male,34,7, € -   ,2,1,0,"€ 62,030.06",0.00%
635,France,Female,40,10,"€ 1,23,497.58",1,1,0,"€ 1,31,953.23",0.00%
772,Germany,Male,26,7,"€ 1,52,400.51",2,1,0,"€ 79,414.00",0.00%
545,France,Female,26,1, € -   ,2,1,1,"€ 1,99,638.56",200.00%
634,Germany,Male,24,8,"€ 1,03,097.85",1,1,1,"€ 1,57,577.29",12.50%
739,Germany,Male,54,8,"€ 1,26,418.14",1,1,0,"€ 1,34,420.75",0.00%
771,Germany,Female,36,5,"€ 77,846.90",1,0,0,"€ 99,805.99",0.00%
587,Spain,Female,34,1, € -   ,2,1,1,"€ 97,932.68",200.00%
681,France,Female,79,0, € -   ,2,0,1,"€ 1,70,968.99",200.00%
544,Germany,Male,37,2,"€ 79,731.91",1,1,1,"€ 57,558.95",50.00%
696,Spain,Male,28,8, € -   ,1,0,0,"€ 1,76,713.47",0.00%
766,Spain,Male,41,0, € -   ,2,0,1,"€ 34,283.23",200.00%
727,France,Male,34,10, € -   ,2,1,1,"€ 1,98,637.34",20.00%
671,Germany,Female,34,6,"€ 37,266.67",2,0,0,"€ 1,56,917.12",0.00%
693,France,Female,30,6,"€ 1,27,992.25",1,1,1,"€ 50,457.20",16.67%
850,Germany,Male,38,3,"€ 54,901.01",1,1,1,"€ 1,40,075.55",33.33%
732,Germany,Male,42,9,"€ 1,08,748.08",2,1,1,"€ 65,323.11",22.22%
726,Spain,Female,48,6,"€ 99,906.19",1,1,0,"€ 64,323.24",0.00%
557,France,Female,32,6,"€ 1,84,686.41",2,1,0,"€ 14,956.44",0.00%
682,France,Female,26,0,"€ 1,10,654.02",1,0,1,"€ 1,11,879.21",100.00%
738,Spain,Male,31,9,"€ 79,019.80",1,1,1,"€ 18,606.23",11.11%
531,Spain,Female,36,9,"€ 99,240.51",1,1,0,"€ 1,23,137.01",0.00%
498,France,Male,34,2, € -   ,2,1,1,"€ 1,48,528.24",100.00%
651,France,Male,36,7, € -   ,2,1,0,"€ 13,898.31",0.00%
549,Spain,Female,39,7, € -   ,1,0,0,"€ 81,259.25",0.00%
791,Germany,Female,35,7,"€ 52,436.20",1,1,0,"€ 1,61,051.75",0.00%
650,Spain,Male,41,9, € -   ,2,0,1,"€ 1,91,599.67",22.22%
733,Germany,Male,34,3,"€ 1,00,337.96",3,1,0,"€ 48,559.19",0.00%
811,Germany,Female,34,1,"€ 1,49,297.19",2,1,1,"€ 1,86,339.74",200.00%
707,France,Male,30,8, € -   ,2,1,0,"€ 33,159.37",0.00%
712,Germany,Male,28,4,"€ 1,45,605.44",1,0,1,"€ 93,883.53",25.00%
706,Spain,Female,37,7, € -   ,2,1,1,"€ 1,10,899.30",28.57%
756,France,Male,62,3, € -   ,1,1,1,"€ 11,199.04",33.33%
777,France,Female,53,10, € -   ,2,1,0,"€ 1,89,992.97",0.00%
646,France,Male,35,6,"€ 84,026.86",1,0,1,"€ 1,64,255.69",16.67%
714,France,Male,46,1, € -   ,1,1,0,"€ 1,52,167.79",0.00%
782,France,Male,39,8, € -   ,2,1,1,"€ 33,949.67",25.00%
775,Spain,Male,29,10, € -   ,2,1,1,"€ 68,143.93",20.00%
479,Germany,Male,35,4,"€ 1,38,718.92",1,1,1,"€ 47,251.79",25.00%
807,France,Male,42,7,"€ 1,18,274.71",1,1,1,"€ 25,885.72",14.29%
799,France,Female,22,8,"€ 1,74,185.98",2,0,1,"€ 1,92,633.85",25.00%
675,France,Male,40,7,"€ 1,13,208.86",2,1,0,"€ 34,577.36",0.00%
602,Spain,Male,29,5,"€ 1,03,907.28",1,1,0,"€ 1,61,229.84",0.00%
475,France,Female,32,8,"€ 1,19,023.28",1,1,0,"€ 1,00,816.29",0.00%
744,Spain,Female,26,5,"€ 1,66,297.89",1,1,1,"€ 1,81,694.44",20.00%
588,Spain,Male,34,10, € -   ,2,1,0,"€ 79,078.91",0.00%
703,Germany,Male,42,9,"€ 63,227.00",1,0,1,"€ 1,37,316.32",11.11%
747,Spain,Female,41,5,"€ 94,521.17",2,1,0,"€ 1,94,926.86",0.00%
583,France,Male,27,7, € -   ,2,1,0,"€ 51,285.49",0.00%
750,Spain,Female,34,9,"€ 1,12,822.26",1,0,0,"€ 1,50,401.53",0.00%
681,France,Male,38,3, € -   ,2,1,1,"€ 1,12,491.96",66.67%
773,France,Male,25,2,"€ 1,35,903.33",1,1,0,"€ 73,656.38",0.00%
714,France,Female,31,4,"€ 1,25,169.26",1,1,1,"€ 1,06,636.89",25.00%
687,Spain,Female,44,7, € -   ,3,1,0,"€ 1,55,853.52",0.00%
511,France,Male,58,0,"€ 1,49,117.31",1,1,1,"€ 1,62,599.51",100.00%
627,France,Male,33,5, € -   ,2,1,1,"€ 1,03,737.82",40.00%
694,France,Female,31,10, € -   ,2,1,0,"€ 1,60,990.27",0.00%
616,Spain,Female,36,6,"€ 1,32,311.71",1,0,0,"€ 15,462.84",0.00%
687,France,Male,35,8, € -   ,2,1,0,"€ 10,334.05",0.00%
712,France,Female,33,6, € -   ,2,1,1,"€ 1,90,686.16",33.33%
553,France,Male,33,4,"€ 1,18,082.89",1,0,0,"€ 94,440.45",0.00%
667,France,Male,31,1,"€ 1,19,266.69",1,1,1,"€ 28,257.63",100.00%
731,France,Male,43,2, € -   ,1,1,1,"€ 1,70,034.95",50.00%
629,Germany,Male,35,7,"€ 1,56,847.29",2,1,0,"€ 31,824.29",0.00%
614,France,Male,50,4,"€ 1,37,104.47",1,1,0,"€ 1,27,166.49",0.00%
438,Germany,Male,31,8,"€ 78,398.69",1,1,0,"€ 44,937.01",0.00%
652,France,Female,80,4, € -   ,2,1,1,"€ 1,88,603.07",50.00%
729,Germany,Male,30,6,"€ 63,669.42",1,1,0,"€ 1,45,111.37",0.00%
642,France,Male,38,3, € -   ,2,0,0,"€ 1,71,463.83",0.00%
806,Germany,Female,59,0,"€ 1,35,296.33",1,1,0,"€ 1,82,822.50",0.00%
744,Spain,Male,36,2,"€ 1,53,804.44",1,1,1,"€ 87,213.33",50.00%
474,Spain,Male,37,3, € -   ,2,0,0,"€ 57,175.32",0.00%
559,France,Male,49,2,"€ 1,47,069.78",1,1,0,"€ 1,20,540.83",0.00%
706,Spain,Male,42,9, € -   ,2,1,1,"€ 28,714.34",22.22%
628,Spain,Female,22,3, € -   ,1,1,0,"€ 85,426.28",0.00%
429,France,Male,24,4,"€ 95,741.75",1,1,0,"€ 46,170.75",0.00%
525,Spain,Female,57,2,"€ 1,45,965.33",1,1,1,"€ 64,448.36",50.00%
680,France,Female,30,8,"€ 1,41,441.75",1,1,1,"€ 16,278.97",12.50%
