Scaled score,France ,Spain,Male,Scaled age,Scaled tenure,Scaled balance,NumOfProducts,Product to tenure ratio,IsActiveMember,Scaled salary,Balance to salary ration,Engagement score,Age tenure,Exited
-1.71,1,0,1,-0.95,0.69,1.69,1,0.14,0,0.29,1.56,0,0.24,1
1.6,0,1,0,0.01,0,1.42,1,0.2,0,-1.5,11.71,0,0.13,1
0.68,0,0,0,0.01,1.72,0.62,1,0.1,0,-0.98,2.65,0,0.26,1
-0.09,0,0,0,0.1,0.34,0.85,2,0.33,1,-0.24,1.5,0.33,0.15,1
-1.33,0,1,1,-0.47,1.38,0.8,1,0.11,0,1.29,0.73,0,0.26,1
-0.08,0,0,0,0.58,-1.04,1.19,1,0.5,1,-1.7,65.02,0.5,0.04,1
0.98,0,0,1,0.58,1.72,0.65,3,0.3,1,0.39,0.96,0.3,0.22,1
0.38,0,1,0,0.01,-1.04,-1.23,3,1.5,0,1.53,0,0,0.05,1
-0.03,0,1,1,0.67,1.38,0.81,2,0.22,0,-0.39,1.64,0,0.2,1
-0.98,0,1,1,-0.09,1.03,-1.23,2,0.25,0,-1.73,0,0,0.21,1
-0.36,1,0,0,2.58,-1.39,0.95,1,1,0,1.46,0.74,0,0.02,1
-1.16,0,1,0,0.96,1.38,1.04,1,0.11,0,1.28,0.81,0,0.18,1
0.44,0,0,0,0.2,1.38,1.68,3,0.33,1,1.53,0.97,0.33,0.22,1
-1.69,0,0,0,2.11,0,0.54,1,0.2,0,-1.54,9.69,0,0.08,1
1.09,0,0,0,2.01,-0.7,0.63,1,0.33,0,-0.11,1.24,0,0.05,1
-1.2,0,0,1,0.1,0.69,0.57,1,0.14,0,-1.6,13.75,0,0.18,1
-0.85,0,0,1,0.1,-1.39,0.37,1,1,0,0.6,0.74,0,0.03,1
-0.33,0,0,1,1.72,-0.7,0.99,1,0.33,1,-0.48,1.9,0.33,0.05,1
-1.09,0,0,0,-0.18,1.03,0.61,1,0.13,0,0.63,0.84,0,0.22,1
-1.01,0,1,1,0.77,-0.7,0.64,1,0.33,0,0.79,0.8,0,0.06,1
0.25,1,0,0,-0.09,0.34,-0.13,1,0.17,0,0.67,0.49,0,0.16,1
-1.41,0,0,1,0.39,-1.39,0.31,1,1,1,1.72,0.48,1,0.02,1
0.12,1,0,0,-0.66,-0.35,0.92,1,0.25,1,-0.89,2.75,0.25,0.13,1
1.71,0,0,0,-0.09,0,0.87,3,0.6,0,-0.49,1.82,0,0.13,1
0.54,1,0,1,-0.18,-1.39,1.17,1,1,0,-1.38,7.26,0,0.03,1
-0.31,0,0,1,0.67,0.34,1.04,1,0.17,0,-1.14,4.08,0,0.13,1
-0.37,0,1,1,2.11,1.38,-1.23,2,0.22,0,0.87,0,0,0.15,1
-1.12,1,0,1,0.01,-0.7,0.94,1,0.33,1,-1.49,9.41,0.33,0.08,1
-1.24,1,0,0,0.77,0.34,-1.23,1,0.17,0,1.65,0,0,0.13,1
0.23,1,0,0,-0.09,-1.04,1.5,2,1,0,0.61,1.26,0,0.05,1
-0.83,1,0,0,1.82,1.03,-1.23,1,0.13,1,0.29,0,0.13,0.14,1
1.28,1,0,1,2.01,0,0.15,1,0.2,0,-0.45,1.16,0,0.08,1
-0.47,1,0,0,1.15,-0.7,0.96,1,0.33,1,-0.57,2.03,0.33,0.06,1
-1.89,1,0,0,1.63,1.72,-1.23,3,0.3,1,-0.66,0,0.3,0.18,1
0.49,1,0,1,0.87,-0.35,0.4,2,0.5,1,1.35,0.57,0.5,0.08,1
2.06,1,0,0,-0.37,-1.39,2.17,1,1,0,1.54,1.12,0,0.03,1
-0.81,0,0,0,0.87,-0.7,1.22,1,0.33,0,-1.07,3.98,0,0.06,1
-0.44,1,0,1,1.91,-1.39,-1.23,1,1,0,-0.51,0,0,0.02,1
-0.9,0,0,0,2.2,0,0.62,3,0.6,1,-1.42,6.29,0.6,0.08,1
0.98,0,0,0,-1.04,-1.39,0.55,1,1,0,-0.47,1.52,0,0.04,1
0.73,0,1,1,1.15,-1.73,1.49,1,1,0,0.16,1.55,0,0,1
-1.52,1,0,0,0.96,0.69,-1.23,3,0.43,1,-0.21,0,0.43,0.14,1
0.24,0,0,1,0.77,0.34,0.49,1,0.17,1,-1.7,51.41,0.17,0.13,1
-0.63,0,1,0,1.15,-0.7,1.26,3,1,1,1.6,0.81,1,0.06,1
-0.54,0,0,1,0.2,-0.7,0.24,1,0.33,0,1.59,0.48,0,0.07,1
-1.46,1,0,0,0.67,-1.39,-1.23,1,1,0,-0.5,0,0,0.02,1
-2.2,0,1,0,1.44,-1.04,-1.23,1,0.5,0,1.59,0,0,0.04,1
0,1,0,1,0.58,-1.39,-1.23,1,1,0,-0.56,0,0,0.02,1
-0.03,0,1,0,0.96,1.72,-1.23,2,0.2,1,1.04,0,0.2,0.2,1
-0.45,0,1,0,-0.56,-1.04,0.51,2,1,1,0.16,0.99,1,0.06,1
-0.04,0,0,0,1.15,-1.39,0.69,2,2,0,-0.78,2.18,0,0.02,1
1.13,1,0,0,1.15,-1.04,0.39,1,0.5,0,1.38,0.56,0,0.04,1
-0.31,0,1,1,1.34,1.38,1.51,1,0.11,0,-1.12,4.79,0,0.17,1
-1.36,0,1,0,0.77,0.34,1.3,2,0.33,0,0.82,1.07,0,0.13,1
0.65,0,0,0,-0.09,0.69,1.09,1,0.14,1,-0.76,2.56,0.14,0.18,1
0.34,0,0,0,1.72,0,1.38,1,0.2,0,-1.58,17.62,0,0.09,1
-0.51,1,0,0,0.39,1.03,-1.23,3,0.38,1,0.19,0,0.38,0.19,1
-0.87,1,0,1,-0.85,0,-1.23,1,0.2,0,-0.79,0,0,0.17,1
0.79,0,1,0,-0.76,-1.73,-1.23,1,1,0,0.38,0,0,0,1
-0.4,0,0,0,2.2,1.03,1.03,1,0.13,0,1.62,0.73,0,0.13,1
-0.64,1,0,0,2.11,-1.39,-1.23,1,1,0,-0.68,0,0,0.02,1
-0.7,0,0,0,1.44,0.34,0.63,1,0.17,0,-0.74,2.02,0,0.11,1
2.06,1,0,1,-0.76,0.34,-0.14,2,0.33,0,-0.87,1.36,0,0.19,1
1.05,0,1,1,0.87,0,0.63,1,0.2,0,0.98,0.74,0,0.1,1
0.1,0,0,0,0.01,0,0.94,1,0.2,0,1.28,0.78,0,0.13,1
1.74,1,0,0,0.01,1.38,0.91,1,0.11,0,-1.27,4.92,0,0.23,1
0.23,1,0,0,-0.47,1.03,-0.55,1,0.13,0,-1.38,2.05,0,0.24,1
-1.98,0,0,1,0.87,-0.35,0.92,1,0.25,1,-1.41,6.95,0.25,0.08,1
0.92,0,0,1,0.58,0.69,0.42,1,0.14,1,0.83,0.69,0.14,0.16,1
0.11,0,1,1,0.29,-1.04,1.64,1,0.5,0,-1.23,6.09,0,0.05,1
1.23,0,0,0,0.58,0,0.8,1,0.2,0,0.42,1.02,0,0.11,1
-0.26,1,0,0,1.15,0.69,0.96,1,0.14,0,-1.06,3.51,0,0.14,1
-2.13,0,1,1,2.2,-1.39,-0.2,1,1,1,-0.41,0.84,1,0.02,1
-1.11,0,0,0,1.72,-1.39,0.48,2,2,1,0.36,0.88,2,0.02,1
1.03,0,0,1,0.1,0,1.47,3,0.6,0,-1.38,8.23,0,0.13,1
-0.01,0,1,0,-1.33,-0.7,0.16,3,1,0,-1.45,5.2,0,0.12,1
0.22,0,1,0,1.63,-1.04,2.14,2,1,1,0.88,1.39,1,0.04,1
-1.98,0,1,0,0.29,0.34,0.85,2,0.33,1,1.35,0.73,0.33,0.14,1
-1.57,1,0,0,1.72,-1.39,-1.23,1,1,0,0.54,0,0,0.02,1
0.91,0,0,1,0.39,1.38,0.72,2,0.22,0,-0.62,1.89,0,0.21,1
-1.09,0,0,0,2.01,0.69,0.84,1,0.14,1,1.34,0.73,0.14,0.12,1
-0.41,1,0,0,0.96,-1.04,0.2,3,1.5,0,1.07,0.55,0,0.04,1
0.44,1,0,0,-0.37,0,0.76,1,0.2,0,-0.2,1.4,0,0.14,1
0.13,0,0,0,-0.28,0.34,0.01,1,0.17,0,-1.12,2.16,0,0.17,1
0.62,0,0,1,0.39,-1.04,1.02,3,1.5,1,1.01,0.89,1.5,0.05,1
0.72,0,0,1,2.01,1.38,0.63,2,0.22,0,1,0.74,0,0.15,1
-1.24,1,0,0,2.3,-1.39,0.61,1,1,1,-1.31,4.68,1,0.02,1
0.95,0,0,0,-0.28,-1.04,0.85,2,1,0,-0.92,2.74,0,0.06,1
-0.15,0,0,1,0.96,0.34,0.59,2,0.33,0,1.02,0.71,0,0.12,1
-0.3,0,0,0,1.82,0.69,0.65,1,0.14,0,0.35,0.97,0,0.12,1
0.43,0,1,1,-1.04,1.38,0.68,1,0.11,0,-1.46,7.4,0,0.32,1
1,0,0,1,1.82,0.69,0.64,1,0.14,1,1.58,0.61,0.14,0.12,1
1.44,0,1,0,0.67,1.38,-1.23,1,0.11,0,-1.49,0,0,0.2,1
-2.37,0,0,1,-1.04,1.03,0.74,3,0.38,1,-0.19,1.37,0.38,0.29,1
-0.73,0,0,0,0.29,-1.04,0.75,1,0.5,0,0.06,1.19,0,0.05,1
0.84,0,1,0,2.87,1.38,0.98,1,0.11,1,0.19,1.24,0.11,0.13,1
-1.01,0,1,0,0.87,-0.7,-1.23,1,0.33,1,-1.21,0,0.33,0.06,1
0.84,0,0,1,1.06,0.34,1.1,1,0.17,0,-0.14,1.58,0,0.12,1
1.27,0,1,0,0.2,0,-1.23,1,0.2,0,-1.25,0,0,0.12,1
0.17,0,0,0,0.87,-1.39,0.33,2,2,0,0.23,0.86,0,0.02,1
-0.86,0,0,0,0.96,0,0.94,1,0.2,0,-0.11,1.44,0,0.1,1
-0.54,1,0,1,2.39,-1.39,-1.23,2,2,0,1.66,0,0,0.02,1
0.17,1,0,1,0.39,1.03,1.82,1,0.13,0,-0.04,1.95,0,0.19,1
-1.06,1,0,0,-0.66,-1.04,1.54,1,0.5,0,1.53,0.92,0,0.06,1
-0.15,1,0,0,0.87,-1.39,1.51,1,1,0,0.18,1.55,0,0.02,1
-0.49,0,0,1,0.48,0.34,0.51,2,0.33,0,0.15,1,0,0.14,1
-0.22,0,0,0,0.58,0.69,0.85,3,0.43,0,-1.58,14.08,0,0.16,1
1.02,1,0,0,2.01,0.34,-1.23,1,0.17,0,-1.43,0,0,0.1,1
0.29,1,0,0,0.39,-0.35,-1.23,3,0.75,0,0.26,0,0,0.09,1
-0.08,1,0,0,0.58,-0.35,-0.5,1,0.25,0,-0.68,0.74,0,0.09,1
0.54,1,0,0,1.15,-0.7,-1.23,3,1,1,-0.4,0,1,0.06,1
0.8,0,0,0,-0.37,1.03,0.79,2,0.25,0,-0.8,2.32,0,0.23,1
-1.32,1,0,0,0.1,-1.04,0.42,1,0.5,0,0.5,0.8,0,0.05,1
0.79,0,0,1,0.1,-1.39,0.27,2,2,0,-0.49,1.29,0,0.03,1
-0.53,1,0,1,1.82,-0.35,-1.23,1,0.25,0,1.33,0,0,0.07,1
0.22,1,0,0,0.58,1.38,-1.23,1,0.11,1,-0.14,0,0.11,0.2,1
-1.39,1,0,0,0.67,-1.39,0.46,1,1,0,0.27,0.91,0,0.02,1
-1.82,1,0,1,0.01,0.34,-1.23,1,0.17,1,-0.75,0,0.17,0.15,1
-0.43,0,1,1,2.11,-1.39,-1.23,1,1,0,-1.35,0,0,0.02,1
-0.99,1,0,1,1.15,0,-1.23,3,0.6,0,1.55,0,0,0.1,1
-1.43,0,1,1,-0.28,-1.39,-1.23,1,1,1,0.62,0,1,0.03,1
1.29,1,0,1,1.25,1.03,0.54,1,0.13,1,-0.06,1.14,0.13,0.15,1
-2.84,1,0,0,0.67,0.34,-1.23,1,0.17,0,1,0,0,0.13,1
-0.53,0,1,0,0.01,-0.35,-1.23,1,0.25,0,1.64,0,0,0.1,1
0.67,1,0,0,-0.09,0,0.67,1,0.2,1,-1.64,20.86,0.2,0.13,1
0.35,1,0,0,0.87,-0.7,-0.05,1,0.33,0,-1.37,3.45,0,0.06,1
0.15,0,1,0,0.29,-1.04,1.28,2,1,1,0.99,1,1,0.05,1
-1.26,0,1,1,2.3,-0.35,0.31,3,0.75,0,0.15,0.88,0,0.06,1
0.34,0,0,0,0.39,-0.35,0.63,1,0.25,1,0.3,0.99,0.25,0.09,1
-0.67,1,0,0,0.39,1.03,0.9,1,0.13,0,-0.57,1.98,0,0.19,1
-0.38,0,0,0,-0.37,0.34,0.83,1,0.17,0,-0.53,1.84,0,0.17,1
-0.84,0,1,1,-0.47,-1.73,1.21,1,1,0,0.04,1.48,0,0,1
0.74,1,0,0,0.96,-0.7,1.47,1,0.33,0,0.71,1.19,0,0.06,1
-0.05,1,0,0,0.29,-0.7,1.58,2,0.67,0,-0.57,2.61,0,0.07,1
-1.34,0,0,1,1.25,0,0.64,3,0.6,0,-0.81,2.17,0,0.1,1
-2.14,1,0,1,0.58,0.34,-1.23,1,0.17,0,0.52,0,0,0.13,1
0.76,1,0,1,0.1,1.72,-1.23,1,0.1,0,0.48,0,0,0.25,1
0.26,1,0,0,-0.18,0,0.21,1,0.2,1,1.21,0.53,0.2,0.14,1
2.06,0,0,0,0.58,0,0.44,1,0.2,0,-0.7,1.73,0,0.11,1
-0.26,1,0,1,0.96,0.34,1.55,1,0.17,0,1.14,1.05,0,0.12,1
-0.21,0,1,0,0.01,0.69,0.95,1,0.14,0,0.71,0.96,0,0.18,1
1.62,0,1,0,0.29,-1.39,-1.23,1,1,0,-1.45,0,0,0.02,1
0.78,1,0,0,0.87,-0.35,-1.23,1,0.25,0,0.24,0,0,0.08,1
-0.2,0,0,1,0.1,-0.7,0.5,1,0.33,0,-0.83,2.06,0,0.08,1
-0.72,1,0,0,0.77,-1.39,0.74,1,1,0,1.39,0.68,0,0.02,1
-0.39,0,0,1,-0.09,1.38,-0.15,1,0.11,0,-0.37,0.85,0,0.24,1
-1.43,1,0,1,-0.28,-0.35,1.21,2,0.5,0,-1.07,3.94,0,0.11,1
0.83,1,0,0,1.25,1.72,-1.23,1,0.1,1,-1.31,0,0.1,0.19,1
-0.58,1,0,1,1.72,0.34,-1.23,1,0.17,0,-1.4,0,0,0.11,1
2,1,0,1,0.1,0.69,0.59,1,0.14,0,-1.19,3.55,0,0.18,1
0.37,0,0,0,0.77,0,1.51,1,0.2,0,1.27,0.99,0,0.11,1
0.39,0,1,1,-0.28,-1.73,0.21,1,1,0,1.34,0.51,0,0,1
1.58,1,0,1,0.29,0,-1.23,1,0.2,0,1.68,0,0,0.12,1
0.64,1,0,1,-0.28,-1.04,0.39,3,1.5,0,-0.51,1.42,0,0.06,1
0.67,1,0,1,0.2,-0.35,0.28,1,0.25,1,0.92,0.62,0.25,0.1,1
0.43,1,0,1,-0.95,-0.35,-1.23,1,0.25,0,-0.41,0,0,0.14,1
1.09,0,0,0,0.01,-0.7,0.39,3,1,1,-0.46,1.37,1,0.08,1
-2.39,0,0,0,-0.47,-1.39,0.95,1,1,0,0.86,0.91,0,0.03,1
0.65,1,0,0,1.25,-1.73,1.75,1,1,1,-0.93,4.01,1,0,1
1.89,0,0,1,1.91,-1.39,0.87,1,1,1,-1.21,4.26,1,0.02,1
0.83,0,0,0,-1.71,1.03,0.89,1,0.13,0,0.11,1.24,0,0.38,1
-0.44,1,0,0,2.2,1.03,1.1,1,0.13,0,1.32,0.82,0,0.13,1
0.83,1,0,0,0.77,-1.39,0.62,3,3,0,1.59,0.6,0,0.02,1
0.49,0,0,1,1.63,-1.39,0.58,2,2,0,-0.11,1.2,0,0.02,1
1.33,0,0,1,-0.56,-1.39,1.31,1,1,1,1.69,0.8,1,0.03,1
-0.46,0,1,1,-0.37,0.69,-1.23,1,0.14,0,0.12,0,0,0.2,1
0.19,1,0,0,-0.37,0.69,-1.23,1,0.14,1,-0.89,0,0.14,0.2,1
-0.34,1,0,0,-0.18,0,0.32,1,0.2,0,-0.02,0.98,0,0.14,1
1.18,0,0,1,0.39,-0.35,1.16,1,0.25,1,1.28,0.86,0.25,0.09,1
1.08,0,0,0,0.58,0.69,0.95,1,0.14,0,0.76,0.94,0,0.16,1
-2.24,0,0,0,1.82,1.38,0.79,2,0.22,0,-0.68,2.07,0,0.16,1
-1.42,1,0,1,-0.37,1.03,-1.23,1,0.13,0,-0.41,0,0,0.23,1
1.08,1,0,1,0.2,0.34,0.45,1,0.17,0,0.45,0.83,0,0.15,1
0.44,0,0,1,0.1,-1.73,0.71,1,1,0,-1.26,4.41,0,0,1
0.56,0,1,0,0.1,0,2.04,1,0.2,0,1.39,1.13,0,0.13,1
-1.02,1,0,1,0.96,-0.35,-1.23,1,0.25,1,1.57,0,0.25,0.08,1
0.23,1,0,0,0.39,0,1.47,1,0.2,1,0.82,1.14,0.2,0.12,1
1.18,1,0,0,1.06,1.38,0.8,1,0.11,1,-0.36,1.59,0.11,0.18,1
0.52,1,0,1,0.1,0,1.49,1,0.2,1,0.93,1.11,0.2,0.13,1
1.39,0,1,0,2.11,-0.35,0.86,2,0.5,0,1.22,0.76,0,0.07,1
-2.97,0,1,0,-1.04,0.34,1.12,3,0.5,0,0.01,1.45,0,0.21,1
-2.6,0,0,1,0.67,-1.04,0.82,1,0.5,0,0.69,0.91,0,0.04,1
0.63,1,0,1,1.15,0.69,-1.23,3,0.43,0,-1.07,0,0,0.14,1
-0.42,0,1,1,0.29,0.34,-1.23,2,0.33,0,1.01,0,0,0.14,1
-0.74,0,1,1,-0.56,0.34,-1.23,1,0.17,0,-0.09,0,0,0.18,1
0.98,0,1,0,1.44,1.03,-1.23,1,0.13,0,1.28,0,0,0.15,1
0.57,1,0,0,-1.52,0,-1.23,1,0.2,0,1.11,0,0,0.22,1
0.44,0,0,1,0.48,0,0.77,2,0.4,1,-0.92,2.65,0.4,0.11,1
-0.66,0,0,1,0.67,1.38,0.5,1,0.11,0,0.68,0.77,0,0.2,1
-0.25,1,0,0,0.48,1.72,0.08,1,0.1,0,-1.39,4.06,0,0.23,1
-0.65,0,0,0,0.1,1.72,0.79,1,0.1,0,0.37,1.03,0,0.25,1
-0.23,1,0,0,0.67,-1.39,-0.47,4,4,0,-1.2,1.5,0,0.02,1
0.55,0,0,1,-1.14,0,1.13,1,0.2,0,-0.62,2.28,0,0.19,1
-1.21,1,0,0,1.53,1.03,0.65,3,0.38,0,0.38,0.96,0,0.15,1
-1.83,1,0,1,-0.56,0,-1.23,2,0.4,0,1.42,0,0,0.15,1
-0.16,0,0,1,-0.18,0,0.59,1,0.2,0,-0.08,1.19,0,0.14,1
1.44,0,1,1,0.67,1.03,1.7,1,0.13,0,0.68,1.31,0,0.17,1
0.22,0,0,1,0.1,1.72,0.42,1,0.1,0,-1.72,80.09,0,0.25,1
-0.6,0,0,0,-0.66,1.38,0.92,2,0.22,0,-0.8,2.49,0,0.28,1
1.66,0,0,1,1.25,1.72,0.01,1,0.1,0,0.8,0.53,0,0.19,1
1.78,0,1,0,0.67,-0.7,0.08,1,0.33,1,-1.25,2.88,0.33,0.07,1
-1.12,1,0,1,-0.09,1.03,-0.17,1,0.13,1,-0.56,0.97,0.13,0.21,1
0.25,1,0,1,1.44,-1.04,-1.23,1,0.5,0,0.86,0,0,0.04,1
1.43,1,0,1,-0.18,-0.7,-1.23,1,0.33,0,0.38,0,0,0.08,1
-0.54,1,0,0,0.39,0,-1.23,3,0.6,1,0.01,0,0.6,0.12,1
-0.16,0,1,1,1.06,0.69,1.33,2,0.29,0,-0.79,2.92,0,0.14,1
-0.6,0,0,0,2.2,-0.7,0.67,1,0.33,1,-1.31,4.77,0.33,0.05,1
0.96,1,0,0,0.1,0.34,-1.23,1,0.17,0,-1.25,0,0,0.15,1
-0.85,0,1,0,0.39,1.38,-1.23,1,0.11,0,0.45,0,0,0.21,1
0.79,0,1,1,0.39,-1.04,0.34,1,0.5,1,0.13,0.91,0.5,0.05,1
1.48,1,0,0,0.2,0.69,1.61,3,0.43,0,1.16,1.06,0,0.17,1
-1.97,0,0,0,0.1,0.34,0.69,2,0.33,0,-0.15,1.31,0,0.15,1
-0.03,1,0,0,1.44,1.38,0.71,1,0.11,0,-1.64,20.36,0,0.17,1
-1.2,0,0,1,0.87,0,0.93,1,0.2,1,-0.73,2.31,0.2,0.1,1
-0.41,0,1,1,1.25,0.69,-1.23,1,0.14,1,-0.46,0,0.14,0.13,1
-0.26,1,0,1,0.39,1.03,2.01,1,0.13,0,0.57,1.52,0,0.19,1
-0.44,0,0,1,0.48,0.69,0.6,1,0.14,1,-0.39,1.47,0.14,0.16,1
0.02,0,0,1,1.06,1.03,0.78,1,0.13,1,-1.44,7.31,0.13,0.16,1
-1.27,0,0,0,0.67,1.38,0.95,1,0.11,0,0.57,1.02,0,0.2,1
-2,1,0,1,0.2,1.03,-0.04,3,0.38,1,1.49,0.4,0.38,0.2,1
2.02,1,0,0,0.2,0,-1.23,3,0.6,0,-1.68,0,0,0.12,1
-0.71,0,1,0,0.67,1.03,-0.14,1,0.13,0,-0.97,1.52,0,0.17,1
